tier,kelompok,num_samples,calibration_date,algoritma,operasi,mean_ms,std_ms,ci_lower_ms,ci_upper_ms,ci_width_ms,relative_error_percent,samples
quick_check,sesi_20260820,1000,2026-08-20 08:18:55,rsa_pss_2048,signing,2.4882404469681205,0.44612283849168927,2.4605894669653985,2.5158914269708426,0.05530196000544446,1.1112663985674893,1000
quick_check,sesi_20260820,1000,2026-08-20 08:18:55,rsa_pss_2048,verification,0.8844128501368687,0.1862052293662063,0.8728717304510555,0.8959539698226818,0.0230822393716263,1.3049470825788076,1000
quick_check,sesi_20260820,1000,2026-08-20 08:18:55,ecdsa_p256,signing,1.2178344392305007,0.2534817422960137,1.2021234780724053,1.2335454003885962,0.031421922316191106,1.2900736464656608,1000
quick_check,sesi_20260820,1000,2026-08-20 08:18:55,ecdsa_p256,verification,2.494479881017469,0.5061360660452509,2.463109242634125,2.5258505194008127,0.06274127676668785,1.257602381244631,1000
production,sesi_20260820,10000,2026-08-20 08:20:15,rsa_pss_2048,signing,2.4842680673478754,0.4289263109802975,2.4758611116526614,2.4926750230430894,0.01681391139042766,0.33840775098755044,10000
production,sesi_20260820,10000,2026-08-20 08:20:15,rsa_pss_2048,verification,0.8801153772743419,0.19025685179144877,0.8763863429792295,0.8838444115694543,0.007458068590224791,0.4236983458533543,10000
production,sesi_20260820,10000,2026-08-20 08:20:15,ecdsa_p256,signing,1.2149506792789908,0.2726225877667129,1.2096072765587633,1.2202940819992183,0.010686805440455145,0.43980408516653535,10000
production,sesi_20260820,10000,2026-08-20 08:20:15,ecdsa_p256,verification,2.476848766594776,0.49459400478835214,2.4671547241009244,2.4865428090886277,0.019388084987703405,0.3913861283981128,10000
validation,sesi_20260820,100000,2026-08-20 08:32:59,rsa_pss_2048,signing,2.450923948944401,0.38272951972051295,2.4485517668046066,2.453296131084195,0.004744364279588673,0.0967872602010365,100000
validation,sesi_20260820,100000,2026-08-20 08:32:59,rsa_pss_2048,verification,0.8647487511331565,0.1752193698945587,0.8636627302270257,0.8658347720392874,0.0021720418122616633,0.1255880282807836,100000
validation,sesi_20260820,100000,2026-08-20 08:32:59,ecdsa_p256,signing,1.2030830924255134,0.24473043116178683,1.2015662374980698,1.204599947352957,0.0030337098548870716,0.12608064538463698,100000
validation,sesi_20260820,100000,2026-08-20 08:32:59,ecdsa_p256,verification,2.444277245581179,0.4362465991024641,2.4415733611468333,2.4469811300155246,0.0054077688686913206,0.11062102055868683,100000
validation,arsip_20260721,100000,2026-07-21 07:25:47,rsa_pss_2048,signing,2.2442836388852445,0.23663026944826634,2.2428169892802448,2.2457502884902443,0.002933299209999837,0.06535045658170088,100000
validation,arsip_20260721,100000,2026-07-21 07:25:47,rsa_pss_2048,verification,0.7724712923367042,0.12419378942017263,0.7717015312549067,0.7732410534185017,0.0015395221635950663,0.09964915064597771,100000
